Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Tail2	fact_no_ex	fact_ex	
4	1	9	4	12	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	1	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	2	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	3	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	4	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	5	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	6	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	7	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	8	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	9	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	10	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	11	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	9	5	12	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
4	1	10	3	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	3	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	4	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
4	1	10	5	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	1	3	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	3	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	4	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	1	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	2	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	3	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	4	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	5	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	6	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	7	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	8	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	9	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	10	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	11	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	1	5	12	61486.4	56878.6	-832.387	0.0611565	0.911522	0.911522
5	1	2	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	3	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	4	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	2	5	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	3	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	4	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	3	5	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	3	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	4	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	4	5	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	2	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	3	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	4	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	5	5	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	1	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	2	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	3	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	4	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	5	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	6	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	7	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	8	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	9	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	10	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	11	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	1	12	61486.4	56878.6	-832.387	0.0611565	0	0
5	1	6	2	1	61486.4	56878.6	-832.387	0.0611565	0	0
